operator_id,total_calls,incoming_calls,outgoing_calls,missed_incoming_calls,avg_wait_time,avg_call_duration,avg_total_call_duration,incoming_missed_ratio
899892,3.0,3.0,0.0,0.0,31.666666666666668,63.666666666666664,95.33333333333333,0.0
899898,2.0,2.0,0.0,0.0,25.0,590.0,615.0,0.0
899900,3.0,3.0,0.0,0.0,62.333333333333336,176.0,238.33333333333334,0.0
899906,1.0,1.0,0.0,0.0,19.0,626.0,645.0,0.0
899912,1.0,1.0,0.0,0.0,19.0,189.0,208.0,0.0
899932,779.0,0.0,779.0,0.0,18.661103979460847,140.18356867779204,158.8446726572529,
899964,470.0,0.0,470.0,0.0,20.125531914893617,130.41702127659573,150.54255319148936,
899968,407.0,0.0,407.0,0.0,19.683046683046683,126.1007371007371,145.78378378378378,
899972,195.0,0.0,195.0,0.0,16.97948717948718,119.56923076923077,136.54871794871795,
900180,1904.0,17.0,1887.0,0.0,18.251575630252102,38.684348739495796,56.9359243697479,0.0
900192,3.0,2.0,1.0,0.0,5.0,1.3333333333333333,6.333333333333333,0.0
900194,110.0,61.0,49.0,3.0,26.118181818181817,151.94545454545454,178.06363636363636,0.04918032786885246
900352,558.0,210.0,348.0,3.0,15.25089605734767,96.26881720430107,111.51971326164875,0.014285714285714285
900354,708.0,174.0,534.0,4.0,15.067796610169491,91.13418079096046,106.20197740112994,0.022988505747126436
900458,29.0,1.0,28.0,0.0,20.03448275862069,12.137931034482758,32.172413793103445,0.0
900492,276.0,18.0,258.0,1.0,22.829710144927535,49.268115942028984,72.09782608695652,0.05555555555555555
900592,406.0,285.0,121.0,0.0,8.839901477832512,76.1871921182266,85.02709359605912,0.0
900594,250.0,35.0,215.0,0.0,9.56,126.652,136.212,0.0
900614,66.0,26.0,40.0,0.0,9.106060606060606,60.68181818181818,69.78787878787878,0.0
900742,42.0,24.0,18.0,0.0,10.714285714285714,41.976190476190474,52.69047619047619,0.0
900746,77.0,26.0,51.0,2.0,12.454545454545455,66.85714285714286,79.31168831168831,0.07692307692307693
900788,224.0,131.0,93.0,1.0,9.651785714285714,112.41964285714286,122.07142857142857,0.007633587786259542
900790,105.0,44.0,61.0,0.0,10.495238095238095,83.88571428571429,94.38095238095238,0.0
900792,9.0,1.0,8.0,0.0,14.88888888888889,18.666666666666668,33.55555555555556,0.0
900826,648.0,99.0,549.0,0.0,18.83179012345679,91.1358024691358,109.9675925925926,0.0
900892,1381.0,358.0,1023.0,3.0,13.20492396813903,70.18102824040551,83.38595220854454,0.008379888268156424
900894,342.0,114.0,228.0,1.0,14.447368421052632,91.64619883040936,106.09356725146199,0.008771929824561403
901034,25.0,13.0,12.0,0.0,10.16,74.36,84.52,0.0
901038,38.0,5.0,33.0,0.0,12.078947368421053,134.05263157894737,146.1315789473684,0.0
901178,358.0,329.0,29.0,0.0,9.276536312849162,64.34916201117318,73.62569832402235,0.0
901350,111.0,111.0,0.0,0.0,24.882882882882882,36.73873873873874,61.62162162162162,0.0
901492,42.0,39.0,3.0,0.0,23.69047619047619,90.5,114.19047619047619,0.0
901498,5.0,5.0,0.0,0.0,53.0,39.6,92.6,0.0
901584,314.0,125.0,189.0,0.0,9.429936305732484,66.21974522292993,75.64968152866243,0.0
901586,140.0,44.0,96.0,0.0,8.157142857142857,73.94285714285714,82.1,0.0
901588,91.0,31.0,60.0,0.0,10.307692307692308,97.52747252747253,107.83516483516483,0.0
901734,30.0,30.0,0.0,0.0,14.2,85.2,99.4,0.0
901880,4655.0,2064.0,2591.0,11.0,12.072610096670248,102.04189044038668,114.11450053705693,0.005329457364341085
901884,2846.0,614.0,2232.0,1.0,15.179901616303583,112.65600843288827,127.83591004919185,0.0016286644951140066
901886,1786.0,150.0,1636.0,0.0,17.99552071668533,73.01007838745801,91.00559910414334,0.0
901894,30.0,30.0,0.0,0.0,24.733333333333334,103.36666666666666,128.1,0.0
901992,830.0,13.0,817.0,0.0,21.191566265060242,70.29397590361445,91.4855421686747,0.0
901996,29.0,3.0,26.0,0.0,21.413793103448278,32.0,53.41379310344828,0.0
902238,2.0,1.0,1.0,0.0,6.5,10.5,17.0,0.0
902510,2117.0,137.0,1980.0,2.0,21.018422295701463,76.80255077940483,97.82097307510628,0.014598540145985401
902532,1216.0,277.0,939.0,1.0,18.60855263157895,98.85197368421052,117.46052631578948,0.0036101083032490976
902608,233.0,14.0,219.0,0.0,20.678111587982833,37.682403433476395,58.36051502145923,0.0
902720,2722.0,105.0,2617.0,0.0,18.063188831741368,32.33688464364438,50.400073475385746,0.0
902742,1232.0,0.0,1232.0,0.0,20.330357142857142,119.11607142857143,139.44642857142858,
902744,3457.0,0.0,3457.0,0.0,16.600520682672837,28.6120914087359,45.21261209140874,
902746,2748.0,0.0,2748.0,0.0,19.766375545851528,52.93449781659389,72.70087336244542,
902748,2831.0,0.0,2831.0,0.0,21.623807841752033,25.291769692688096,46.915577534440125,
902774,1126.0,0.0,1126.0,0.0,24.864120781527532,56.10301953818828,80.96714031971581,
902776,1824.0,0.0,1824.0,0.0,21.640350877192983,48.28563596491228,69.92598684210526,
902778,1327.0,0.0,1327.0,0.0,17.132629992464206,64.54031650339111,81.67294649585531,
902782,1473.0,0.0,1473.0,0.0,23.841140529531568,115.37813985064494,139.2192803801765,
902906,49.0,49.0,0.0,0.0,17.26530612244898,114.16326530612245,131.42857142857142,0.0
902910,31.0,31.0,0.0,1.0,26.387096774193548,56.0,82.38709677419355,0.03225806451612903
903254,1845.0,262.0,1583.0,0.0,17.3159891598916,60.50027100271003,77.81626016260162,0.0
903292,346.0,43.0,303.0,0.0,15.248554913294798,70.91907514450867,86.16763005780346,0.0
903312,199.0,146.0,53.0,2.0,17.894472361809044,95.07035175879398,112.96482412060301,0.0136986301369863
903318,1646.0,314.0,1332.0,3.0,17.086269744835967,130.3778857837181,147.46415552855407,0.009554140127388535
903390,9.0,9.0,0.0,0.0,15.777777777777779,53.333333333333336,69.11111111111111,0.0
903512,28.0,28.0,0.0,0.0,42.5,87.17857142857143,129.67857142857142,0.0
903974,11.0,11.0,0.0,0.0,16.818181818181817,8.818181818181818,25.636363636363637,0.0
903976,5.0,5.0,0.0,0.0,8.4,26.8,35.2,0.0
903978,18.0,8.0,10.0,0.0,5.0,15.333333333333334,20.333333333333332,0.0
904014,1475.0,46.0,1429.0,0.0,16.896949152542373,44.90372881355932,61.800677966101695,0.0
